Datum;Art;Betrag
2020-01-06;Support;5,00
2020-01-31;Support;2,00
2020-02-01;Serverkosten;-11,13
2020-02-06;Support;5,00
2020-02-12;Serverkosten;0,01
2020-02-25;Support;10,00
2020-02-28;Support;2,00
2020-03-01;Serverkosten;-39,75
2020-03-03;Support;54,63
2020-03-06;Support;5,00
2020-03-11;Serverspeicher;-3,55
2020-03-31;Support;2,00
2020-04-01;Serverkosten;-48,52
2020-04-06;Support;5,00
2020-04-14;Support;25,00
2020-04-30;Support;2,00
2020-05-01;Serverkosten;-44,17
2020-05-06;Support;5,00
2020-05-07;Support;59,30
2020-05-11;Serverspeicher;-7,00
2020-05-29;Support;2,00
2020-06-01;Serverkosten;-45,49
2020-06-08;Support;5,00
2020-06-11;Serverspeicher;-3,55
2020-06-11;Support;10,00
2020-06-11;Support;50,00
2020-06-15;Support;5,00
2020-06-30;Support;2,00
2020-07-01;Serverkosten;-43,19
2020-07-06;Support;5,00
2020-07-31;Support;2,00
2020-08-01;Serverkosten;-40,90
2020-08-06;Support;5,00
2020-08-31;Support;2,00
2020-09-01;Serverkosten;-25,65
2020-09-07;Support;5,00
2020-09-30;Support;2,00
2020-10-06;Support;5,00
2020-10-30;Support;2,00
2020-11-01;Serverkosten;-41,89
2020-11-02;Support;1,00
2020-11-02;Support;10,00
2020-11-02;Support;20,00
2020-11-03;Sonstige Ausgaben;-20,00
2020-11-03;Support;20,00
2020-11-03;Support;36,00
2020-11-04;Support;84,22
2020-11-06;Support;5,00
2020-11-11;Serverspeicher;-3,44
2020-11-16;Support;10,00
2020-11-26;Support;20,00
2020-11-30;Support;2,00
2020-12-01;Serverkosten;-41,34
2020-12-01;Support;1,00
2020-12-01;Support;10,00
2020-12-03;Support;33,00
2020-12-07;Support;5,00
2020-12-08;Sonstige Ausgaben;-7,81
2020-12-11;Serverspeicher;-7,00
2020-12-29;Support;25,63
2020-12-30;Support;2,00
2020-12-30;Support;15,00
2021-01-01;Serverkosten;-42,88
2021-01-04;Support;1,00
2021-01-04;Support;10,00
2021-01-06;Support;5,00
2021-01-11;Serverspeicher;-3,55
2021-01-25;Support;26,00
2021-02-01;Serverkosten;-43,97
2021-02-01;Support;1,00
2021-02-01;Support;10,00
2021-02-08;Support;5,00
2021-02-08;Support;17,73
2021-02-11;Serverspeicher;-7,00
2021-03-01;Serverkosten;-43,94
2021-03-01;Support;1,00
2021-03-01;Support;10,00
2021-03-08;Support;5,00
2021-03-11;Serverspeicher;-3,55
2021-03-15;Support;50,00
2021-04-01;Serverkosten;-48,40
2021-04-01;Support;1,00
2021-04-01;Support;10,00
2021-04-06;Support;5,00
2021-04-12;Support;44,16
2021-05-01;Serverkosten;-43,77
2021-05-03;Support;1,00
2021-05-03;Support;10,00
2021-05-04;Support;5,00
2021-05-06;Support;5,00
2021-05-07;Support;10,00
2021-05-10;Support;10,00
2021-05-11;Serverspeicher;-7,00
2021-05-26;Support;6,00
2021-05-26;Support;9,00
2021-06-01;Serverkosten;-43,86
2021-06-01;Support;1,00
2021-06-01;Support;10,00
2021-06-02;Support;5,00
2021-06-07;Support;5,00
2021-06-11;Serverspeicher;-7,00
2021-07-01;Serverkosten;-43,98
2021-07-01;Support;1,00
2021-07-01;Support;10,00
2021-07-02;Support;5,00
2021-07-06;Support;5,00
2021-07-11;Serverspeicher;-7,00
2021-07-11;Support;10,33
2021-08-01;Serverkosten;-45,87
2021-08-02;Support;1,00
2021-08-02;Support;10,00
2021-08-03;Support;5,00
2021-08-03;Support;50,00
2021-08-06;Support;5,00
2021-08-08;Serverkosten;-0,85
2021-08-08;Serverkosten;0,85
2021-08-26;Support;9,00
2021-08-30;Support;15,00
2021-09-01;Serverkosten;-47,12
2021-09-01;Support;1,00
2021-09-01;Support;7,28
2021-09-01;Support;10,00
2021-09-02;Support;5,00
2021-09-06;Support;5,00
2021-09-11;Serverspeicher;-7,00
2021-10-01;Serverkosten;-48,50
2021-10-01;Support;1,00
2021-10-01;Support;5,00
2021-10-01;Support;10,00
2021-10-04;Support;5,00
2021-10-06;Support;5,00
2021-11-01;Serverkosten;-50,06
2021-11-01;Serverkosten;-0,87
2021-11-01;Serverkosten;0,87
2021-11-01;Support;1,00
2021-11-01;Support;28,68
2021-11-02;Serverkosten;-12,00
2021-11-02;Support;5,00
2021-11-02;Support;10,00
2021-11-08;Support;5,00
2021-11-12;Serverspeicher;-7,00
2021-11-23;Serverkosten;-2,23
2021-11-26;Support;9,00
2021-12-01;Serverkosten;-49,52
2021-12-01;Support;1,00
2021-12-01;Support;10,00
2021-12-02;Support;5,00
2021-12-04;Support;2,23
2021-12-06;Support;5,00
2021-12-06;Support;50,00
2021-12-07;Serverkosten;-83,07
2021-12-09;Support;12,00
2021-12-30;Support;14,28
2022-01-02;Serverkosten;-5,37
2022-01-03;Support;1,00
2022-01-03;Support;5,00
2022-01-03;Support;10,00
2022-01-04;Support;5,00
2022-01-04;Support;24,00
2022-01-06;Support;5,00
2022-01-12;Support;30,00
2022-02-01;Support;1,00
2022-02-01;Support;10,00
2022-02-02;Support;5,00
2022-02-07;Support;5,00
2022-02-08;Serverkosten;-80,41
2022-02-28;Support;9,00
2022-03-01;Support;1,00
2022-03-01;Support;10,00
2022-03-02;Support;5,00
2022-03-07;Support;5,00
2022-03-15;Serverkosten;-67,50
2022-03-17;Support;50,00
2022-04-01;Support;1,00
2022-04-01;Support;5,00
2022-04-01;Support;10,00
2022-04-04;Support;5,00
2022-04-06;Support;5,00
2022-04-08;Support;36,00
2022-04-27;Mailjet;-27,37
2022-04-28;Support;10,00
2022-05-02;Support;1,00
2022-05-02;Support;5,00
2022-05-02;Support;10,00
2022-05-02;Support;10,00
2022-05-02;Support;10,00
2022-05-02;Support;334,91
2022-05-03;Serverkosten;-99,48
2022-05-03;Support;5,00
2022-05-04;Support;25,00
2022-05-06;Support;5,00
2022-05-09;Support;237,73
2022-05-11;Support;1,00
2022-05-24;Support;20,00
2022-05-24;Support;25,00
2022-05-24;Support;38,72
2022-05-26;Support;12,00
2022-05-27;Mailjet;-16,66
2022-06-01;Support;1,00
2022-06-01;Support;10,00
2022-06-01;Support;110,38
2022-06-02;Support;5,00
2022-06-06;Support;5,00
2022-06-08;Serverkosten;-86,99
2022-06-13;Support;1,00
2022-06-18;Support;10,00
2022-06-21;Support;5,00
2022-06-27;Mailjet;-16,66
2022-07-01;Support;1,00
2022-07-01;Support;5,00
2022-07-04;Support;5,00
2022-07-06;Support;5,00
2022-07-07;Support;15,00
2022-07-08;Support;64,43
2022-07-11;Support;1,00
2022-07-19;Serverkosten;-98,47
2022-07-20;Support;150,00
2022-07-27;Mailjet;-16,66
2022-07-29;Support;5,00
2022-08-01;Support;1,00
2022-08-01;Support;5,00
2022-08-01;Support;5,00
2022-08-01;Support;10,00
2022-08-01;Support;10,00
2022-08-02;Support;5,00
2022-08-08;Support;5,00
2022-08-09;Support;1,00
2022-08-10;Serverkosten;-125,00
2022-08-11;Support;1,00
2022-08-24;Serverkosten;-84,83
2022-08-26;Support;12,00
2022-08-27;Mailjet;-16,66
2022-09-01;Support;1,00
2022-09-01;Support;5,00
2022-09-01;Support;5,00
2022-09-01;Support;10,00
2022-09-02;Support;5,00
2022-09-06;Support;5,00
2022-09-12;Support;1,00
2022-09-20;Serverkosten;-21,36
2022-09-27;Mailjet;-16,66
2022-10-03;Support;1,00
2022-10-03;Support;5,00
2022-10-03;Support;5,00
2022-10-03;Support;10,00
2022-10-04;Support;5,00
2022-10-06;Support;5,00
2022-10-11;Support;1,00
2022-10-19;Support;5,00
2022-10-20;Serverkosten;-18,22
2022-10-27;Mailjet;-16,66
2022-10-31;Support;5,00
2022-10-31;Support;10,00
2022-10-31;Support;12,12
2022-10-31;Support;20,00
2022-10-31;Support;20,00
2022-10-31;Support;20,00
2022-10-31;Support;30,00
2022-10-31;Support;40,00
2022-10-31;Support;306,43
2022-11-01;Support;1,00
2022-11-01;Support;1,00
2022-11-01;Support;2,00
2022-11-01;Support;2,50
2022-11-01;Support;5,00
2022-11-01;Support;5,00
2022-11-01;Support;5,00
2022-11-01;Support;10,00
2022-11-01;Support;10,00
2022-11-01;Support;10,00
2022-11-01;Support;12,00
2022-11-01;Support;20,00
2022-11-01;Support;100,00
2022-11-02;Support;5,00
2022-11-02;Support;10,00
2022-11-02;Support;25,00
2022-11-02;Support;26,00
2022-11-02;Support;50,00
2022-11-02;Support;313,36
2022-11-03;Support;2,00
2022-11-03;Support;10,00
2022-11-03;Support;10,00
2022-11-04;Support;25,00
2022-11-04;Support;152,46
2022-11-07;Support;5,00
2022-11-07;Support;10,00
2022-11-07;Support;10,00
2022-11-07;Support;24,00
2022-11-07;Support;50,00
2022-11-07;Support;249,37
2022-11-08;Support;10,00
2022-11-08;Support;15,00
2022-11-08;Support;36,00
2022-11-08;Support;353,71
2022-11-09;Serverkosten;-187,43
2022-11-09;Support;1,00
2022-11-09;Support;24,00
2022-11-10;Support;5,00
2022-11-10;Support;5,00
2022-11-10;Support;8,00
2022-11-11;Support;1,00
2022-11-11;Support;4,00
2022-11-11;Support;10,00
2022-11-14;Support;20,00
2022-11-14;Support;20,00
2022-11-14;Support;25,00
2022-11-15;Support;400,83